id,name,parent_id
1,レディース,1
2,トップス,1-1
3,Tシャツ/カットソー(半袖/袖なし),1-1-1
4,Tシャツ/カットソー(七分/長袖),1-1-2
5,シャツ/ブラウス(半袖/袖なし),1-1-3
6,シャツ/ブラウス(七分/長袖),1-1-4
7,ポロシャツ,1-1-5
8,キャミソール,1-1-6
9,タンクトップ,1-1-7
10,ホルターネック,1-1-8
11,ニット/セーター,1-1-9
12,チュニック,1-1-10
13,カーディガン/ボレロ,1-1-11
14,アンサンブル,1-1-12
15,ベスト/ジレ,1-1-13
16,パーカー,1-1-14
17,トレーナー/スウェット,1-1-15
18,ベアトップ/チューブトップ,1-1-16
19,ジャージ,1-1-17
20,その他,1-1-18
21,ジャケット/アウター,1-2
22,テーラードジャケット,1-2-1
23,ノーカラージャケット,1-2-2
24,Gジャン/デニムジャケット,1-2-3
25,レザージャケット,1-2-4
26,ダウンジャケット,1-2-5
27,ライダースジャケット,1-2-6
28,ミリタリージャケット,1-2-7
29,ダウンベスト,1-2-8
30,ジャンパー/ブルゾン,1-2-9
31,ポンチョ,1-2-10
32,ロングコート,1-2-11
33,トレンチコート,1-2-12
34,ダッフルコート,1-2-13
35,ピーコート,1-2-14
36,チェスターコート,1-2-15
37,モッズコート,1-2-16
38,スタジャン,1-2-17
39,毛皮/ファーコート,1-2-18
40,スプリングコート,1-2-19
41,スカジャン,1-2-20
42,その他,1-2-21
43,パンツ,1-3
44,デニム/ジーンズ,1-3-1
45,ショートパンツ,1-3-2
46,カジュアルパンツ,1-3-3
47,ハーフパンツ,1-3-4
48,チノパン,1-3-5
49,ワークパンツ/カーゴパンツ,1-3-6
50,クロップドパンツ,1-3-7
51,サロペット/オーバーオール,1-3-8
52,オールインワン,1-3-9
53,サルエルパンツ,1-3-10
54,ガウチョパンツ,1-3-11
55,その他,1-3-12
56,スカート,1-4
57,ミニスカート,1-4-1
58,ひざ丈スカート,1-4-2
59,ロングスカート,1-4-3
60,キュロット,1-4-4
61,その他,1-4-5
62,ワンピース,1-5
63,ミニワンピース,1-5-1
64,ひざ丈ワンピース,1-5-2
65,ロングワンピース,1-5-3
66,その他,1-5-4
67,靴,1-6
68,ハイヒール/パンプス,1-6-1
69,ブーツ,1-6-2
70,サンダル,1-6-3
71,スニーカー,1-6-4
72,ミュール,1-6-5
73,モカシン,1-6-6
74,ローファー/革靴,1-6-7
75,フラットシューズ/バレエシューズ,1-6-8
76,長靴/レインシューズ,1-6-9
77,その他,1-6-10
78,ルームウェア/パジャマ,1-7
79,パジャマ,1-7-1
80,ルームウェア,1-7-2
81,レッグウェア,1-8
82,ソックス,1-8-1
83,スパッツ/レギンス,1-8-2
84,ストッキング/タイツ,1-8-3
85,レッグウォーマー,1-8-4
86,その他,1-8-5
87,帽子,1-9
88,ニットキャップ/ビーニー,1-9-1
89,ハット,1-9-2
90,ハンチング/ベレー帽,1-9-3
91,キャップ,1-9-4
92,キャスケット,1-9-5
93,麦わら帽子,1-9-6
94,その他,1-9-7
95,バッグ,1-10
96,ハンドバッグ,1-10-1
97,トートバッグ,1-10-2
98,エコバッグ,1-10-3
99,リュック/バックパック,1-10-4
100,ボストンバッグ,1-10-5
101,スポーツバッグ,1-10-6
102,ショルダーバッグ,1-10-7
103,クラッチバッグ,1-10-8
104,ポーチ/バニティ,1-10-9
105,ボディバッグ/ウェストバッグ,1-10-10
106,マザーズバッグ,1-10-11
107,メッセンジャーバッグ,1-10-12
108,ビジネスバッグ,1-10-13
109,旅行用バッグ/キャリーバッグ,1-10-14
110,ショップ袋,1-10-15
111,和装用バッグ,1-10-16
112,かごバッグ,1-10-17
113,その他,1-10-18
114,アクセサリー,1-11
115,ネックレス,1-11-1
116,ブレスレット,1-11-2
117,バングル/リストバンド,1-11-3
118,リング,1-11-4
119,ピアス(片耳用),1-11-5
120,ピアス(両耳用),1-11-6
121,イヤリング,1-11-7
122,アンクレット,1-11-8
123,ブローチ/コサージュ,1-11-9
124,チャーム,1-11-10
125,その他,1-11-11
126,ヘアアクセサリー,1-12
127,ヘアゴム/シュシュ,1-12-1
128,ヘアバンド/カチューシャ,1-12-2
129,ヘアピン,1-12-3
130,その他,1-12-4
131,小物,1-13
132,長財布,1-13-1
133,折り財布,1-13-2
134,コインケース/小銭入れ,1-13-3
135,名刺入れ/定期入れ,1-13-4
136,キーケース,1-13-5
137,キーホルダー,1-13-6
138,手袋/アームカバー,1-13-7
139,ハンカチ,1-13-8
140,ベルト,1-13-9
141,マフラー/ショール,1-13-10
142,ストール/スヌード,1-13-11
143,バンダナ/スカーフ,1-13-12
144,ネックウォーマー,1-13-13
145,サスペンダー,1-13-14
146,サングラス/メガネ,1-13-15
147,モバイルケース/カバー,1-13-16
148,手帳,1-13-17
149,イヤマフラー,1-13-18
150,傘,1-13-19
151,レインコート/ポンチョ,1-13-20
152,ミラー,1-13-21
153,タバコグッズ,1-13-22
154,その他,1-13-23
155,時計,1-14
156,腕時計(アナログ),1-14-1
157,腕時計(デジタル),1-14-2
158,ラバーベルト,1-14-3
159,レザーベルト,1-14-4
160,金属ベルト,1-14-5
161,その他,1-14-6
162,ウィッグ/エクステ,1-15
163,前髪ウィッグ,1-15-1
164,ロングストレート,1-15-2
165,ロングカール,1-15-3
166,ショートストレート,1-15-4
167,ショートカール,1-15-5
168,その他,1-15-6
169,浴衣/水着,1-16
170,浴衣,1-16-1
171,着物,1-16-2
172,振袖,1-16-3
173,長襦袢/半襦袢,1-16-4
174,水着セパレート,1-16-5
175,水着ワンピース,1-16-6
176,水着スポーツ用,1-16-7
177,その他,1-16-8
178,スーツ/フォーマル/ドレス,1-17
179,スカートスーツ上下,1-17-1
180,パンツスーツ上下,1-17-2
181,ドレス,1-17-3
182,パーティーバッグ,1-17-4
183,シューズ,1-17-5
184,ウェディング,1-17-6
185,その他,1-17-7
186,マタニティ,1-18
187,トップス,1-18-1
188,アウター,1-18-2
189,インナー,1-18-3
190,ワンピース,1-18-4
191,パンツ/スパッツ,1-18-5
192,スカート,1-18-6
193,パジャマ,1-18-7
194,授乳服,1-18-8
195,その他,1-18-9
196,その他,1-19
197,コスプレ,1-19-1
198,下着,1-19-2
199,その他,1-19-3
200,メンズ,2
201,トップス,2-1
202,Tシャツ/カットソー(半袖/袖なし),2-1-1
203,Tシャツ/カットソー(七分/長袖),2-1-2
204,シャツ,2-1-3
205,ポロシャツ,2-1-4
206,タンクトップ,2-1-5
207,ニット/セーター,2-1-6
208,パーカー,2-1-7
209,カーディガン,2-1-8
210,スウェット,2-1-9
211,ジャージ,2-1-10
212,ベスト,2-1-11
213,その他,2-1-12
214,ジャケット/アウター,2-2
215,テーラードジャケット,2-2-1
216,ノーカラージャケット,2-2-2
217,Gジャン/デニムジャケット,2-2-3
218,レザージャケット,2-2-4
219,ダウンジャケット,2-2-5
220,ライダースジャケット,2-2-6
221,ミリタリージャケット,2-2-7
222,ナイロンジャケット,2-2-8
223,フライトジャケット,2-2-9
224,ダッフルコート,2-2-10
225,ピーコート,2-2-11
226,ステンカラーコート,2-2-12
227,トレンチコート,2-2-13
228,モッズコート,2-2-14
229,チェスターコート,2-2-15
230,スタジャン,2-2-16
231,スカジャン,2-2-17
232,ブルゾン,2-2-18
233,マウンテンパーカー,2-2-19
234,ダウンベスト,2-2-20
235,ポンチョ,2-2-21
236,カバーオール,2-2-22
237,その他,2-2-23
238,パンツ,2-3
239,デニム/ジーンズ,2-3-1
240,ワークパンツ/カーゴパンツ,2-3-2
241,スラックス,2-3-3
242,チノパン,2-3-4
243,ショートパンツ,2-3-5
244,ペインターパンツ,2-3-6
245,サルエルパンツ,2-3-7
246,オーバーオール,2-3-8
247,その他,2-3-9
248,靴,2-4
249,スニーカー,2-4-1
250,サンダル,2-4-2
251,ブーツ,2-4-3
252,モカシン,2-4-4
253,ドレス/ビジネス,2-4-5
254,長靴/レインシューズ,2-4-6
255,デッキシューズ,2-4-7
256,その他,2-4-8
257,バッグ,2-5
258,ショルダーバッグ,2-5-1
259,トートバッグ,2-5-2
260,ボストンバッグ,2-5-3
261,リュック/バックパック,2-5-4
262,ウエストポーチ,2-5-5
263,ボディーバッグ,2-5-6
264,ドラムバッグ,2-5-7
265,ビジネスバッグ,2-5-8
266,トラベルバッグ,2-5-9
267,メッセンジャーバッグ,2-5-10
268,エコバッグ,2-5-11
269,その他,2-5-12
270,スーツ,2-6
271,スーツジャケット,2-6-1
272,スーツベスト,2-6-2
273,スラックス,2-6-3
274,セットアップ,2-6-4
275,その他,2-6-5
276,帽子,2-7
277,キャップ,2-7-1
278,ハット,2-7-2
279,ニットキャップ/ビーニー,2-7-3
280,ハンチング/ベレー帽,2-7-4
281,キャスケット,2-7-5
282,サンバイザー,2-7-6
283,その他,2-7-7
284,アクセサリー,2-8
285,ネックレス,2-8-1
286,ブレスレット,2-8-2
287,バングル/リストバンド,2-8-3
288,リング,2-8-4
289,ピアス(片耳用),2-8-5
290,ピアス(両耳用),2-8-6
291,アンクレット,2-8-7
292,その他,2-8-8
293,小物,2-9
294,長財布,2-9-1
295,折り財布,2-9-2
296,マネークリップ,2-9-3
297,コインケース/小銭入れ,2-9-4
298,名刺入れ/定期入れ,2-9-5
299,キーケース,2-9-6
300,キーホルダー,2-9-7
301,ネクタイ,2-9-8
302,手袋,2-9-9
303,ハンカチ,2-9-10
304,ベルト,2-9-11
305,マフラー,2-9-12
306,ストール,2-9-13
307,バンダナ,2-9-14
308,ネックウォーマー,2-9-15
309,サスペンダー,2-9-16
310,ウォレットチェーン,2-9-17
311,サングラス/メガネ,2-9-18
312,モバイルケース/カバー,2-9-19
313,手帳,2-9-20
314,ストラップ,2-9-21
315,ネクタイピン,2-9-22
316,カフリンクス,2-9-23
317,イヤマフラー,2-9-24
318,傘,2-9-25
319,レインコート,2-9-26
320,ミラー,2-9-27
321,タバコグッズ,2-9-28
322,その他,2-9-29
323,時計,2-10
324,腕時計(アナログ),2-10-1
325,腕時計(デジタル),2-10-2
326,ラバーベルト,2-10-3
327,レザーベルト,2-10-4
328,金属ベルト,2-10-5
329,その他,2-10-6
330,水着,2-11
331,一般水着,2-11-1
332,スポーツ用,2-11-2
333,アクセサリー,2-11-3
334,その他,2-11-4
335,レッグウェア,2-12
336,ソックス,2-12-1
337,レギンス/スパッツ,2-12-2
338,レッグウォーマー,2-12-3
339,その他,2-12-4
340,アンダーウェア,2-13
341,トランクス,2-13-1
342,ボクサーパンツ,2-13-2
343,その他,2-13-3
344,その他,2-14
345,ベビー・キッズ,3
346,ベビー服(女の子用)  ~95cm,3-1
347,トップス,3-1-1
348,アウター,3-1-2
349,パンツ,3-1-3
350,スカート,3-1-4
351,ワンピース,3-1-5
352,ベビードレス,3-1-6
353,おくるみ,3-1-7
354,下着/肌着,3-1-8
355,パジャマ,3-1-9
356,ロンパース,3-1-10
357,その他,3-1-11
358,ベビー服(男の子用)  ~95cm,3-2
359,トップス,3-2-1
360,アウター,3-2-2
361,パンツ,3-2-3
362,おくるみ,3-2-4
363,下着/肌着,3-2-5
364,パジャマ,3-2-6
365,ロンパース,3-2-7
366,その他,3-2-8
367,ベビー服(男女兼用)  ~95cm,3-3
368,トップス,3-3-1
369,アウター,3-3-2
370,パンツ,3-3-3
371,おくるみ,3-3-4
372,下着/肌着,3-3-5
373,パジャマ,3-3-6
374,ロンパース,3-3-7
375,その他,3-3-8
376,キッズ服(女の子用) 100cm~,3-4
377,コート,3-4-1
378,ジャケット/上着,3-4-2
379,トップス(Tシャツ/カットソー),3-4-3
380,トップス(トレーナー),3-4-4
381,トップス(チュニック),3-4-5
382,トップス(タンクトップ),3-4-6
383,トップス(その他),3-4-7
384,スカート,3-4-8
385,パンツ,3-4-9
386,ワンピース,3-4-10
387,セットアップ,3-4-11
388,パジャマ,3-4-12
389,フォーマル/ドレス,3-4-13
390,和服,3-4-14
391,浴衣,3-4-15
392,甚平,3-4-16
393,水着,3-4-17
394,その他,3-4-18
395,キッズ服(男の子用) 100cm~,3-5
396,コート,3-5-1
397,ジャケット/上着,3-5-2
398,トップス(Tシャツ/カットソー),3-5-3
399,トップス(トレーナー),3-5-4
400,トップス(その他),3-5-5
401,パンツ,3-5-6
402,セットアップ,3-5-7
403,パジャマ,3-5-8
404,フォーマル/ドレス,3-5-9
405,和服,3-5-10
406,浴衣,3-5-11
407,甚平,3-5-12
408,水着,3-5-13
409,その他,3-5-14
410,キッズ服(男女兼用) 100cm~,3-6
411,コート,3-6-1
412,ジャケット/上着,3-6-2
413,トップス(Tシャツ/カットソー),3-6-3
414,トップス(トレーナー),3-6-4
415,トップス(その他),3-6-5
416,ボトムス,3-6-6
417,パジャマ,3-6-7
418,その他,3-6-8
419,キッズ靴,3-7
420,スニーカー,3-7-1
421,サンダル,3-7-2
422,ブーツ,3-7-3
423,長靴,3-7-4
424,その他,3-7-5
425,子ども用ファッション小物,3-8
426,靴下/スパッツ,3-8-1
427,帽子,3-8-2
428,エプロン,3-8-3
429,サスペンダー,3-8-4
430,タイツ,3-8-5
431,ハンカチ,3-8-6
432,バンダナ,3-8-7
433,ベルト,3-8-8
434,マフラー,3-8-9
435,傘,3-8-10
436,手袋,3-8-11
437,スタイ,3-8-12
438,バッグ,3-8-13
439,その他,3-8-14
440,おむつ/トイレ/バス,3-9
441,おむつ用品,3-9-1
442,おまる/補助便座,3-9-2
443,トレーニングパンツ,3-9-3
444,ベビーバス,3-9-4
445,お風呂用品,3-9-5
446,その他,3-9-6
447,外出/移動用品,3-10
448,ベビーカー,3-10-1
449,抱っこひも/スリング,3-10-2
450,チャイルドシート,3-10-3
451,その他,3-10-4
452,授乳/食事,3-11
453,ミルク,3-11-1
454,ベビーフード,3-11-2
455,ベビー用食器,3-11-3
456,その他,3-11-4
457,ベビー家具/寝具/室内用品,3-12
458,ベッド,3-12-1
459,布団/毛布,3-12-2
460,イス,3-12-3
461,たんす,3-12-4
462,その他,3-12-5
463,おもちゃ,3-13
464,おふろのおもちゃ,3-13-1
465,がらがら,3-13-2
466,オルゴール,3-13-3
467,ベビージム,3-13-4
468,手押し車/カタカタ,3-13-5
469,知育玩具,3-13-6
470,その他,3-13-7
471,行事/記念品,3-14
472,お宮参り用品,3-14-1
473,お食い初め用品,3-14-2
474,アルバム,3-14-3
475,手形/足形,3-14-4
476,その他,3-14-5
477,その他,3-15
478,母子手帳用品,3-15-1
479,その他,3-15-2
480,インテリア・住まい・小物,4
481,キッチン/食器,4-1
482,食器,4-1-1
483,調理器具,4-1-2
484,収納/キッチン雑貨,4-1-3
485,弁当用品,4-1-4
486,カトラリー(スプーン等),4-1-5
487,テーブル用品,4-1-6
488,容器,4-1-7
489,エプロン,4-1-8
490,アルコールグッズ,4-1-9
491,浄水機,4-1-10
492,その他,4-1-11
493,ベッド/マットレス,4-2
494,セミシングルベッド,4-2-1
495,シングルベッド,4-2-2
496,セミダブルベッド,4-2-3
497,ダブルベッド,4-2-4
498,ワイドダブルベッド,4-2-5
499,クイーンベッド,4-2-6
500,キングベッド,4-2-7
501,脚付きマットレスベッド,4-2-8
502,マットレス,4-2-9
503,すのこベッド,4-2-10
504,ロフトベッド/システムベッド,4-2-11
505,簡易ベッド/折りたたみベッド,4-2-12
506,収納付き,4-2-13
507,その他,4-2-14
508,ソファ/ソファベッド,4-3
509,ソファセット,4-3-1
510,シングルソファ,4-3-2
511,ラブソファ,4-3-3
512,トリプルソファ,4-3-4
513,オットマン,4-3-5
514,コーナーソファ,4-3-6
515,ビーズソファ/クッションソファ,4-3-7
516,ローソファ/フロアソファ,4-3-8
517,ソファベッド,4-3-9
518,応接セット,4-3-10
519,ソファカバー,4-3-11
520,リクライニングソファ,4-3-12
521,その他,4-3-13
522,椅子/チェア,4-4
523,一般,4-4-1
524,スツール,4-4-2
525,ダイニングチェア,4-4-3
526,ハイバックチェア,4-4-4
527,ロッキングチェア,4-4-5
528,座椅子,4-4-6
529,折り畳みイス,4-4-7
530,デスクチェア,4-4-8
531,その他,4-4-9
532,机/テーブル,4-5
533,こたつ,4-5-1
534,カウンターテーブル,4-5-2
535,サイドテーブル,4-5-3
536,センターテーブル,4-5-4
537,ダイニングテーブル,4-5-5
538,座卓/ちゃぶ台,4-5-6
539,アウトドア用,4-5-7
540,パソコン用,4-5-8
541,事務机/学習机,4-5-9
542,その他,4-5-10
543,収納家具,4-6
544,リビング収納,4-6-1
545,キッチン収納,4-6-2
546,玄関/屋外収納,4-6-3
547,バス/トイレ収納,4-6-4
548,本収納,4-6-5
549,本/CD/DVD収納,4-6-6
550,洋服タンス/押入れ収納,4-6-7
551,電話台/ファックス台,4-6-8
552,ドレッサー/鏡台,4-6-9
553,棚/ラック,4-6-10
554,ケース/ボックス,4-6-11
555,その他,4-6-12
556,ラグ/カーペット/マット,4-7
557,ラグ,4-7-1
558,カーペット,4-7-2
559,ホットカーペット,4-7-3
560,玄関/キッチンマット,4-7-4
561,トイレ/バスマット,4-7-5
562,その他,4-7-6
563,カーテン/ブラインド,4-8
564,カーテン,4-8-1
565,ブラインド,4-8-2
566,ロールスクリーン,4-8-3
567,のれん,4-8-4
568,その他,4-8-5
569,ライト/照明,4-9
570,蛍光灯/電球,4-9-1
571,天井照明,4-9-2
572,フロアスタンド,4-9-3
573,その他,4-9-4
574,寝具,4-10
575,布団/毛布,4-10-1
576,枕,4-10-2
577,シーツ/カバー,4-10-3
578,その他,4-10-4
579,インテリア小物,4-11
580,ごみ箱,4-11-1
581,ウェルカムボード,4-11-2
582,オルゴール,4-11-3
583,クッション,4-11-4
584,クッションカバー,4-11-5
585,スリッパラック,4-11-6
586,ティッシュボックス,4-11-7
587,バスケット/かご,4-11-8
588,フォトフレーム,4-11-9
589,マガジンラック,4-11-10
590,モビール,4-11-11
591,花瓶,4-11-12
592,灰皿,4-11-13
593,傘立て,4-11-14
594,小物入れ,4-11-15
595,置時計,4-11-16
596,掛時計/柱時計,4-11-17
597,鏡(立て掛け式),4-11-18
598,鏡(壁掛け式),4-11-19
599,置物,4-11-20
600,風鈴,4-11-21
601,植物/観葉植物,4-11-22
602,その他,4-11-23
603,季節/年中行事,4-12
604,正月,4-12-1
605,成人式,4-12-2
606,バレンタインデー,4-12-3
607,ひな祭り,4-12-4
608,子どもの日,4-12-5
609,母の日,4-12-6
610,父の日,4-12-7
611,サマーギフト/お中元,4-12-8
612,夏/夏休み,4-12-9
613,ハロウィン,4-12-10
614,敬老の日,4-12-11
615,七五三,4-12-12
616,お歳暮,4-12-13
617,クリスマス,4-12-14
618,冬一般,4-12-15
619,その他,4-12-16
620,その他,4-13
621,本・音楽・ゲーム,5
622,本,5-1
623,文学/小説,5-1-1
624,人文/社会,5-1-2
625,ノンフィクション/教養,5-1-3
626,地図/旅行ガイド,5-1-4
627,ビジネス/経済,5-1-5
628,健康/医学,5-1-6
629,コンピュータ/IT,5-1-7
630,趣味/スポーツ/実用,5-1-8
631,住まい/暮らし/子育て,5-1-9
632,アート/エンタメ,5-1-10
633,洋書,5-1-11
634,絵本,5-1-12
635,参考書,5-1-13
636,その他,5-1-14
637,漫画,5-2
638,全巻セット,5-2-1
639,少年漫画,5-2-2
640,少女漫画,5-2-3
641,青年漫画,5-2-4
642,女性漫画,5-2-5
643,同人誌,5-2-6
644,その他,5-2-7
645,雑誌,5-3
646,アート/エンタメ/ホビー,5-3-1
647,ファッション,5-3-2
648,ニュース/総合,5-3-3
649,趣味/スポーツ,5-3-4
650,その他,5-3-5
651,CD,5-4
652,邦楽,5-4-1
653,洋楽,5-4-2
654,アニメ,5-4-3
655,クラシック,5-4-4
656,K-POP/アジア,5-4-5
657,キッズ/ファミリー,5-4-6
658,その他,5-4-7
659,DVD/ブルーレイ,5-5
660,外国映画,5-5-1
661,日本映画,5-5-2
662,アニメ,5-5-3
663,TVドラマ,5-5-4
664,ミュージック,5-5-5
665,お笑い/バラエティ,5-5-6
666,スポーツ/フィットネス,5-5-7
667,キッズ/ファミリー,5-5-8
668,その他,5-5-9
669,レコード,5-6
